trade_number,entry_month_ui,close_month_ist,trade_name,signal_id,entry_time_ui,entry_time_raw_utc,entry_time_ist_from_raw,ui_vs_raw_entry_minutes,trade_closed_time_raw_utc,trade_closed_time_ist,trade_duration_minutes_raw,capital_allocated_pct,lots_bought,margin_required,trade_pnl,trade_pnl_pct,signal_pnl,signal_pnl_pct,exit_event_number,exit_event_name,exit_event_id,exit_event_time_raw_utc,exit_event_time_ist,exit_event_lots,exit_event_pnl,leg_number,entry_side,exit_side,symbol,underlying,exchange,exchange_token,instrument_type,product_type,expiry_raw_utc,expiry_date_ist,expiry_time_ist,days_to_expiry_from_raw_entry,strike_price,option_type,leg_quantity_lots,lot_size_multiplier,trade_leg_total_qty,exit_event_qty,entry_price,exit_event_price,final_exit_price,avg_exit_price,target_price,stop_loss,event_entry_value,event_exit_value,event_leg_realized_pnl,spread_type,short_strike,long_strike,strike_width,entry_short_price,entry_long_price,entry_net_credit,exit_event_short_price,exit_event_long_price,exit_event_net_debit,source_url
4,2025-10,2025-10,Credit Spread 25300 / 25600 Short:10/10/2025 05:51,6981b86ba2d779f2330d2bc8,2025-10-10 05:51:00,2025-10-10T05:51:00Z,2025-10-10 11:21:00,330,2025-10-14T09:29:59Z,2025-10-14 14:59:59,5979,100,4,70000,31934.93,9.98,7930.467043,5.523144,2,Final Exit,6aa464fdae024f12303d8fc5,2025-10-14T09:29:59Z,2025-10-14 14:59:59,2,16074,2,BUY,SELL,NIFTY14OCT2525600CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-14T00:00:00.000Z,2025-10-14,2025-10-14 05:30:00,3.75625,25600,CE,1,75,300,150,10.55,0.15,0.15,0.15,0,0,1582.5,22.5,-1560,CALL_CREDIT_SPREAD,25300,25600,300,117.81,10.55,107.26,0.25,0.15,0.1,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
4,2025-10,2025-10,Credit Spread 25300 / 25600 Short:10/10/2025 05:51,6981b86ba2d779f2330d2bc8,2025-10-10 05:51:00,2025-10-10T05:51:00Z,2025-10-10 11:21:00,330,2025-10-14T09:29:59Z,2025-10-14 14:59:59,5979,100,4,70000,31934.93,9.98,7930.467043,5.523144,2,Final Exit,6aa464fdae024f12303d8fc5,2025-10-14T09:29:59Z,2025-10-14 14:59:59,2,16074,1,SELL,BUY,NIFTY14OCT2525300CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-14T00:00:00.000Z,2025-10-14,2025-10-14 05:30:00,3.75625,25300,CE,1,75,300,150,117.81,0.25,0.25,0.25,0,0,17671.5,37.5,17634,CALL_CREDIT_SPREAD,25300,25600,300,117.81,10.55,107.26,0.25,0.15,0.1,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
5,2025-10,2025-10,Credit Spread 26050 / 26350 Short:23/10/2025 06:25,6981b86ba2d779f2330d2bcb,2025-10-23 06:25:00,2025-10-23T06:25:00Z,2025-10-23 11:55:00,330,2025-10-23T09:33:59Z,2025-10-23 15:03:59,189,100,4,70000,20125.12,6.29,4972.309106,3.281694,1,Target 1,6aa464fdae024f12303d8f9b,2025-10-23T09:33:59Z,2025-10-23 15:03:59,2,9944.62,2,BUY,SELL,NIFTY28OCT2526350CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,4.732639,26350,CE,1,75,300,150,43.53,14.55,14.55,14.55,0,0,6529.5,2182.5,-4347,CALL_CREDIT_SPREAD,26050,26350,300,180.18,43.53,136.65,83.33,14.55,68.78,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
5,2025-10,2025-10,Credit Spread 26050 / 26350 Short:23/10/2025 06:25,6981b86ba2d779f2330d2bcb,2025-10-23 06:25:00,2025-10-23T06:25:00Z,2025-10-23 11:55:00,330,2025-10-23T09:33:59Z,2025-10-23 15:03:59,189,100,4,70000,20125.12,6.29,4972.309106,3.281694,1,Target 1,6aa464fdae024f12303d8f9b,2025-10-23T09:33:59Z,2025-10-23 15:03:59,2,9944.62,1,SELL,BUY,NIFTY28OCT2526050CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,4.732639,26050,CE,1,75,300,150,180.18,83.33,83.33,83.33,0,0,27027,12499.5,14527.5,CALL_CREDIT_SPREAD,26050,26350,300,180.18,43.53,136.65,83.33,14.55,68.78,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
5,2025-10,2025-10,Credit Spread 26050 / 26350 Short:23/10/2025 06:25,6981b86ba2d779f2330d2bcb,2025-10-23 06:25:00,2025-10-23T06:25:00Z,2025-10-23 11:55:00,330,2025-10-23T09:33:59Z,2025-10-23 15:03:59,189,100,4,70000,20125.12,6.29,4972.309106,3.281694,2,Final Exit,6aa464fdae024f12303d8f9e,2025-10-23T09:33:59Z,2025-10-23 15:03:59,2,10180.5,2,BUY,SELL,NIFTY28OCT2526350CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,4.732639,26350,CE,1,75,300,150,43.53,14.55,14.55,14.55,0,0,6529.5,2182.5,-4347,CALL_CREDIT_SPREAD,26050,26350,300,180.18,43.53,136.65,83.33,14.55,68.78,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
5,2025-10,2025-10,Credit Spread 26050 / 26350 Short:23/10/2025 06:25,6981b86ba2d779f2330d2bcb,2025-10-23 06:25:00,2025-10-23T06:25:00Z,2025-10-23 11:55:00,330,2025-10-23T09:33:59Z,2025-10-23 15:03:59,189,100,4,70000,20125.12,6.29,4972.309106,3.281694,2,Final Exit,6aa464fdae024f12303d8f9e,2025-10-23T09:33:59Z,2025-10-23 15:03:59,2,10180.5,1,SELL,BUY,NIFTY28OCT2526050CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,4.732639,26050,CE,1,75,300,150,180.18,83.33,83.33,83.33,0,0,27027,12499.5,14527.5,CALL_CREDIT_SPREAD,26050,26350,300,180.18,43.53,136.65,83.33,14.55,68.78,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
6,2025-10,2025-10,Credit Spread 25950 / 26250 Short:27/10/2025 06:05,6981b86ba2d779f2330d2bce,2025-10-27 06:05:00,2025-10-27T06:05:00Z,2025-10-27 11:35:00,330,2025-10-28T09:29:59Z,2025-10-28 14:59:59,1645,100,4,70000,33840.56,10.58,8406.282033,5.371808,1,Target 1,6aa464fdae024f12303d8fc8,2025-10-28T09:29:59Z,2025-10-28 14:59:59,2,16812.56,1,SELL,BUY,NIFTY28OCT2525950CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,0.746528,25950,CE,1,75,300,150,130.09,0.76,0.76,0.76,0,0,19513.5,114,19399.5,CALL_CREDIT_SPREAD,25950,26250,300,130.09,16.16,113.93,0.76,0.35,0.41,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
6,2025-10,2025-10,Credit Spread 25950 / 26250 Short:27/10/2025 06:05,6981b86ba2d779f2330d2bce,2025-10-27 06:05:00,2025-10-27T06:05:00Z,2025-10-27 11:35:00,330,2025-10-28T09:29:59Z,2025-10-28 14:59:59,1645,100,4,70000,33840.56,10.58,8406.282033,5.371808,1,Target 1,6aa464fdae024f12303d8fc8,2025-10-28T09:29:59Z,2025-10-28 14:59:59,2,16812.56,2,BUY,SELL,NIFTY28OCT2526250CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,0.746528,26250,CE,1,75,300,150,16.16,0.35,0.35,0.35,0,0,2424,52.5,-2371.5,CALL_CREDIT_SPREAD,25950,26250,300,130.09,16.16,113.93,0.76,0.35,0.41,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
6,2025-10,2025-10,Credit Spread 25950 / 26250 Short:27/10/2025 06:05,6981b86ba2d779f2330d2bce,2025-10-27 06:05:00,2025-10-27T06:05:00Z,2025-10-27 11:35:00,330,2025-10-28T09:29:59Z,2025-10-28 14:59:59,1645,100,4,70000,33840.56,10.58,8406.282033,5.371808,2,Final Exit,6aa464fdae024f12303d8fcb,2025-10-28T09:29:59Z,2025-10-28 14:59:59,2,17028,1,SELL,BUY,NIFTY28OCT2525950CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,0.746528,25950,CE,1,75,300,150,130.09,0.76,0.76,0.76,0,0,19513.5,114,19399.5,CALL_CREDIT_SPREAD,25950,26250,300,130.09,16.16,113.93,0.76,0.35,0.41,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
6,2025-10,2025-10,Credit Spread 25950 / 26250 Short:27/10/2025 06:05,6981b86ba2d779f2330d2bce,2025-10-27 06:05:00,2025-10-27T06:05:00Z,2025-10-27 11:35:00,330,2025-10-28T09:29:59Z,2025-10-28 14:59:59,1645,100,4,70000,33840.56,10.58,8406.282033,5.371808,2,Final Exit,6aa464fdae024f12303d8fcb,2025-10-28T09:29:59Z,2025-10-28 14:59:59,2,17028,2,BUY,SELL,NIFTY28OCT2526250CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-28T00:00:00.000Z,2025-10-28,2025-10-28 05:30:00,0.746528,26250,CE,1,75,300,150,16.16,0.35,0.35,0.35,0,0,2424,52.5,-2371.5,CALL_CREDIT_SPREAD,25950,26250,300,130.09,16.16,113.93,0.76,0.35,0.41,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
7,2025-11,2025-11,Credit Spread 25750 / 26050 Short:03/11/2025 07:18,6981b86ba2d779f2330d2bd1,2025-11-03 07:18:00,2025-11-03T07:18:00Z,2025-11-03 12:48:00,330,2025-11-04T09:29:59Z,2025-11-04 14:59:59,1572,100,4,70000,21253.41,6.64,5261.954706,3.191091,1,Target 1,6aa464fdae024f12303d8fa1,2025-11-04T09:29:59Z,2025-11-04 14:59:59,2,10523.91,1,SELL,BUY,NIFTY04NOV2525750CE,NIFTY,NSE,,OPT,INTRADAY,2025-11-04T00:00:00.000Z,2025-11-04,2025-11-04 05:30:00,0.695833,25750,CE,1,75,300,150,83.46,0.71,0.71,0.71,0,0,12519,106.5,12412.5,CALL_CREDIT_SPREAD,25750,26050,300,83.46,11.67,71.79,0.71,0.45,0.26,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
7,2025-11,2025-11,Credit Spread 25750 / 26050 Short:03/11/2025 07:18,6981b86ba2d779f2330d2bd1,2025-11-03 07:18:00,2025-11-03T07:18:00Z,2025-11-03 12:48:00,330,2025-11-04T09:29:59Z,2025-11-04 14:59:59,1572,100,4,70000,21253.41,6.64,5261.954706,3.191091,1,Target 1,6aa464fdae024f12303d8fa1,2025-11-04T09:29:59Z,2025-11-04 14:59:59,2,10523.91,2,BUY,SELL,NIFTY04NOV2526050CE,NIFTY,NSE,,OPT,INTRADAY,2025-11-04T00:00:00.000Z,2025-11-04,2025-11-04 05:30:00,0.695833,26050,CE,1,75,300,150,11.67,0.45,0.45,0.45,0,0,1750.5,67.5,-1683,CALL_CREDIT_SPREAD,25750,26050,300,83.46,11.67,71.79,0.71,0.45,0.26,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
7,2025-11,2025-11,Credit Spread 25750 / 26050 Short:03/11/2025 07:18,6981b86ba2d779f2330d2bd1,2025-11-03 07:18:00,2025-11-03T07:18:00Z,2025-11-03 12:48:00,330,2025-11-04T09:29:59Z,2025-11-04 14:59:59,1572,100,4,70000,21253.41,6.64,5261.954706,3.191091,2,Final Exit,6aa464fdae024f12303d8fa4,2025-11-04T09:29:59Z,2025-11-04 14:59:59,2,10729.5,1,SELL,BUY,NIFTY04NOV2525750CE,NIFTY,NSE,,OPT,INTRADAY,2025-11-04T00:00:00.000Z,2025-11-04,2025-11-04 05:30:00,0.695833,25750,CE,1,75,300,150,83.46,0.71,0.71,0.71,0,0,12519,106.5,12412.5,CALL_CREDIT_SPREAD,25750,26050,300,83.46,11.67,71.79,0.71,0.45,0.26,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
7,2025-11,2025-11,Credit Spread 25750 / 26050 Short:03/11/2025 07:18,6981b86ba2d779f2330d2bd1,2025-11-03 07:18:00,2025-11-03T07:18:00Z,2025-11-03 12:48:00,330,2025-11-04T09:29:59Z,2025-11-04 14:59:59,1572,100,4,70000,21253.41,6.64,5261.954706,3.191091,2,Final Exit,6aa464fdae024f12303d8fa4,2025-11-04T09:29:59Z,2025-11-04 14:59:59,2,10729.5,2,BUY,SELL,NIFTY04NOV2526050CE,NIFTY,NSE,,OPT,INTRADAY,2025-11-04T00:00:00.000Z,2025-11-04,2025-11-04 05:30:00,0.695833,26050,CE,1,75,300,150,11.67,0.45,0.45,0.45,0,0,1750.5,67.5,-1683,CALL_CREDIT_SPREAD,25750,26050,300,83.46,11.67,71.79,0.71,0.45,0.26,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
8,2025-11,2025-11,Credit Spread 25950 / 26250 Short:17/11/2025 04:46,6981b86ba2d779f2330d2bd4,2025-11-17 04:46:00,2025-11-17T04:46:00Z,2025-11-17 10:16:00,330,2025-11-18T09:29:59Z,2025-11-18 14:59:59,1724,100,4,70000,24661.1,7.71,6113.047527,3.59259,1,Target 1,6aa464fdae024f12303d8fa7,2025-11-18T09:29:59Z,2025-11-18 14:59:59,2,12226.1,2,BUY,SELL,NIFTY18NOV2526250CE,NIFTY,NSE,,OPT,INTRADAY,2025-11-18T00:00:00.000Z,2025-11-18,2025-11-18 05:30:00,0.801389,26250,CE,1,75,300,150,8.08,0.2,0.2,0.2,0,0,1212,30,-1182,CALL_CREDIT_SPREAD,25950,26250,300,96.13,8.08,88.05,5.35,0.2,5.15,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
